title,artist,year,explicit,styles,languages,title_artist,synced,d_id,d_song,d_isrc,d_release,d_explicit,d_bpm,d_artist,d_album_id,d_album,d_art
Who Were You Thinking Of?,Mike Denver,2016,0,Country,English,who were you thinking of? - mike denver,0,0,0,0,0,0,0.0,0,0,0,0
Medley,Middle Of The Road,1981,0,Pop,English,medley - middle of the road,0,611886972,Hit Medley,NLA241900029,2018-12-20,False,123.784,Middle of the Road,83295092,Sacramento,https://cdns-images.dzcdn.net/images/cover/ccc3eb77c6eae74a37416c895c770e51/250x250-000000-80-0-0.jpg
All For You,Sister Hazel,1997,0,"Rock,Alternative",English,all for you - sister hazel,0,378747061,All For You,USUR10000469,2017-07-07,False,136.9,Sister Hazel,43917681,90s Mixtape,https://cdns-images.dzcdn.net/images/cover/4072568469a14550f19c97351fcfbb8b/250x250-000000-80-0-0.jpg
Jose Cuervo,Shelly West,1983,0,Country,English,jose cuervo - shelly west,0,123825686,Jose Cuervo,US3M51331503,2014-05-27,False,115.49,Shelly West,12981384,West By West,https://e-cdns-images.dzcdn.net/images/cover/1f433c21638451db1d4b5c11eb871d2d/250x250-000000-80-0-0.jpg
Wrap It Up,The Fabulous Thunderbirds,1986,0,"Blues,Rock",English,wrap it up - the fabulous thunderbirds,0,80193506,Wrap It Up,USSM10027812,2014-07-04,False,120.0,The Fabulous Thunderbirds,8005940,The Essential Fabulous Thunderbirds,https://cdns-images.dzcdn.net/images/cover/fa0fabb43b582e6f77554ab0bbf013cd/250x250-000000-80-0-0.jpg
Geek in the Pink,Jason Mraz,2006,0,"Pop,Rock",English,geek in the pink - jason mraz,0,84174879,Geek in the Pink,USEE10500844,2014-08-25,False,92.1,Jason Mraz,8476541,"The Studio Album Collection, Volume One",https://e-cdns-images.dzcdn.net/images/cover/8bfa86b30b8d0278a6253c9631b3202d/250x250-000000-80-0-0.jpg
Over The Rainbow,Josh Groban,2015,0,"Musical,Folk",English,over the rainbow - josh groban,0,98351088,"Over the Rainbow (from ""The Wizard of Oz"")",USRE11500064,2015-04-20,False,115.8,Josh Groban,10047124,Stages (Deluxe),https://e-cdns-images.dzcdn.net/images/cover/e869d015d975f276170df1ad219426ab/250x250-000000-80-0-0.jpg
Given the Dog a Bone,AC/DC,1980,0,"Hard/Metal,Rock",English,given the dog a bone - ac/dc,0,0,0,0,0,0,0.0,0,0,0,0
Kentucky Wildcat,The Kentucky Headhunters,1997,0,Country,English,kentucky wildcat - the kentucky headhunters,0,0,0,0,0,0,0.0,0,0,0,0
Have You Ever Seen The Rain,Smokie,1995,0,"Country,Rock,Pop",English,have you ever seen the rain - smokie,0,126964467,Have You Ever Seen the Rain,GBGPW0900185,2015-05-27,False,123.41,Smokie,13380427,The Greatest Hits of 40 Years,https://e-cdns-images.dzcdn.net/images/cover/064c556684b6effa3f8dcb71754593f3/250x250-000000-80-0-0.jpg
Rather Be,Jasmine Thompson,2014,0,Pop,English,rather be - jasmine thompson,0,142648674,Rather Be,GBKPL1376749,2014-04-20,False,110.0,Jasmine Thompson,15429062,Another Bundle of Tantrums,https://e-cdns-images.dzcdn.net/images/cover/0e97f575cc493ed0e9fb187f49f7e9e7/250x250-000000-80-0-0.jpg
Try,Pink,2012,0,"Pop,Rock",English,try - pink,0,115872264,Try Some Of That,USA371418146,2011-08-01,False,0.0,Pink Anderson,12006240,Blues Legend,https://cdns-images.dzcdn.net/images/cover/92a5284210dbbdfd253d0b6f0964a3dc/250x250-000000-80-0-0.jpg
Gangsta's Paradise,Postmodern Jukebox,2015,0,Jazz,English,gangsta's paradise - postmodern jukebox,0,99242026,Gangsta's Paradise,GBDMT1500064,2015-04-23,False,138.0,Scott Bradlee's Postmodern Jukebox feat. Adele Anderson,10158866,Emoji Antique,https://cdns-images.dzcdn.net/images/cover/5858c3fee41cf81ededd657613a886fc/250x250-000000-80-0-0.jpg
Damned (If You Do),The Mavericks,2017,0,"Country,Rock,Latin",English,damned (if you do) - the mavericks,0,138732935,Damned (If You Do),QZ4RG1600023,2017-03-31,False,114.0,The Mavericks,14903741,Brand New Day,https://cdns-images.dzcdn.net/images/cover/3ec13350e11a9cc4bd45100985679fc0/250x250-000000-80-0-0.jpg
Nobody Else,René Froger,1990,0,"Pop,Rock",English,nobody else - rené froger,0,143149112,Nobody Else,NLQ271700308,2010-11-05,False,115.0,Rene Froger,15495826,"'K Heb Je Lief - 50 jaar de muziek, M'n fans, het leven",https://e-cdns-images.dzcdn.net/images/cover/e5830f6ba71bc1dc7bf6454569d20194/250x250-000000-80-0-0.jpg
Ain't No Sunshine,Kris Allen,2009,0,"Pop,Soul",English,ain't no sunshine - kris allen,0,0,0,0,0,0,0.0,0,0,0,0
Natural Woman,Luce Dufault,2000,0,"Pop,Folk",English,natural woman - luce dufault,0,560837272,A Natural Woman (You Make Me Feel Like),CAK721841752,2018-10-12,False,110.25,Luce Dufault,74268832,Entre vous et nous,https://cdns-images.dzcdn.net/images/cover/7e324378eb5e5fe30fecf6cf4a29863f/250x250-000000-80-0-0.jpg
Let Me Be Free,2 Brothers On The 4th Floor,1994,0,Dance,English,let me be free - 2 brothers on the 4th floor,0,123728060,Let Me Be Free,NLA240305446,2016-05-13,False,135.0,2 Brothers on the 4th Floor,12970164,The Very Best of 2 Brothers on the 4th Floor (25th Anniversary Edition),https://cdns-images.dzcdn.net/images/cover/c37baef863ba73de3f660d647677dc5e/250x250-000000-80-0-0.jpg
Touch Me In The Morning,Diana Ross,1973,0,Soul,English,touch me in the morning - diana ross,0,1176294,Touch Me In The Morning,USMO17300350,2007-03-27,False,138.3,Diana Ross,125754,The #1's,https://cdns-images.dzcdn.net/images/cover/ef335f19ecd664c41a986b188b1e07a1/250x250-000000-80-0-0.jpg
The Time Of Our Lives,Il Divo,2006,0,"Duet,Pop,Soft rock","English,Italian",the time of our lives - il divo,0,567669,The Time of Our Lives (Radio Edit),GBHMU0600059,2007-02-12,False,89.1,Il Divo,73759,The Essential Toni Braxton,https://cdns-images.dzcdn.net/images/cover/d2b19f701bbba7a6de9c89f737b7cead/250x250-000000-80-0-0.jpg
Time's A-Wastin',June Carter Cash,1954,0,"Country,Duet",English,time's a-wastin' - june carter cash,0,0,0,0,0,0,0.0,0,0,0,0
Gone Country,Alan Jackson,1994,0,Country,English,gone country - alan jackson,0,531968,Gone Country,USAN29400042,2007-08-07,False,125.7,Alan Jackson,70963,16 Biggest Hits,https://cdns-images.dzcdn.net/images/cover/2caa2e00be11b44ee4849f587e3973e0/250x250-000000-80-0-0.jpg
1-2-3,Miami Sound Machine,1988,0,Pop,English,1-2-3 - miami sound machine,0,15636649,1-2-3,USSM10011984,1987-06-02,False,124.0,Gloria Estefan,1444061,Let It Loose,https://cdns-images.dzcdn.net/images/cover/dcfc424da654b47865570f6e2d186cd0/250x250-000000-80-0-0.jpg
If I Can't Have You,Etta James,1962,0,"Blues,Jazz",English,if i can't have you - etta james,0,2428550,If I Can't Have You,USMC16046320,2001-01-23,False,107.1,Etta James,239301,Love Songs,https://cdns-images.dzcdn.net/images/cover/e79478d14f6bf7a7d97bbda7e5bfed1a/250x250-000000-80-0-0.jpg
"(What's So Funny 'Bout) Peace, Love, and Understanding",Elvis Costello,1978,0,Rock,English,"(what's so funny 'bout) peace, love, and understanding - elvis costello",0,1110988,"(What's So Funny 'Bout) Peace, Love And Understanding",GBASQ7900053,2007-05-01,False,141.6,Elvis Costello & The Attractions,119689,The Best Of The First 10 Years,https://e-cdns-images.dzcdn.net/images/cover/25e3c1ff5a30328e1f24bb502e592765/250x250-000000-80-0-0.jpg
I Met a Girl,William Michael Morgan,2015,0,Country,English,i met a girl - william michael morgan,0,132357548,I Met a Girl,USWB11506592,2016-09-30,False,168.06,WILLIAM MICHAEL MORGAN,14069818,Vinyl,https://e-cdns-images.dzcdn.net/images/cover/7ba1a7090f79d6b4240eebdaaa4acb90/250x250-000000-80-0-0.jpg
The Other Side Of The Door,Taylor Swift,2008,0,"Country,Pop",English,the other side of the door - taylor swift,0,0,0,0,0,0,0.0,0,0,0,0
Common People,William Shatner,2004,0,"Rock,Alternative,Duet",English,common people - william shatner,0,0,0,0,0,0,0.0,0,0,0,0
Only Believe,Elvis Presley,1971,0,Oldies,English,only believe - elvis presley,0,15608905,Only Believe,USRC17000762,1999-11-17,False,97.7,Elvis Presley,1442137,Peace In The Valley - The Complete Gospel Recordings,https://cdns-images.dzcdn.net/images/cover/e953d0649ea7a1c22d0575cd8df63c89/250x250-000000-80-0-0.jpg
Everybody's Gotta Learn Sometime,Krezip,2007,0,"Soft rock,Folk",English,everybody's gotta learn sometime - krezip,0,71763412,Everybody's Gotta Learn Sometime,NLP760700041,2008-02-29,False,153.7,Krezip,7051678,Plug It In,https://e-cdns-images.dzcdn.net/images/cover/6f23c7c8c640fdff1b2c89b3e458f08e/250x250-000000-80-0-0.jpg
Crying For No Reason,Katy B,2013,0,"80s,Pop,Electro",English,crying for no reason - katy b,0,74208633,Crying for No Reason (Tom Shorterz Remix),GBARL1301637,2014-01-24,False,122.0,Katy B,7326055,Crying for No Reason (Remix Bundle),https://cdns-images.dzcdn.net/images/cover/d4f48cae6bb816ff740197938839f61b/250x250-000000-80-0-0.jpg
I Count The Tears,The Drifters,1960,0,Rock,English,i count the tears - the drifters,0,0,0,0,0,0,0.0,0,0,0,0
Do They Know It's Christmas?,Band Aid II,1989,0,"Christmas,Pop",English,do they know it's christmas? - band aid ii,0,831658162,Do They Know It's Christmas?,GBBTK0901017,2019-12-11,False,0.0,Band Aid II,122933572,Do They Know It's Christmas?,https://e-cdns-images.dzcdn.net/images/cover/240963a8dc58294fa1d87d6b7fc50d0b/250x250-000000-80-0-0.jpg
The First Noel,Children's Chorus,1833,0,"Christmas,Kids",English,the first noel - children's chorus,0,105284792,The First Noel (Rerecorded),USRVF1402677,2015-06-19,False,0.0,Christmas Children's Chorus,10965920,We Wish You A Merry Christmas,https://cdns-images.dzcdn.net/images/cover/9cdf3eb11a19531fd0f15dc99b037229/250x250-000000-80-0-0.jpg
Alejandro (Demo Version),Lady Gaga,2008,0,"Pop,Electro,Dance",English,alejandro (demo version) - lady gaga,0,0,0,0,0,0,0.0,0,0,0,0
I Believe In Santa Claus,Kenny Rogers,1984,0,"Christmas,Country,Duet",English,i believe in santa claus - kenny rogers,0,14886807,I Believe In Santa Claus,USRN18400001,1984-10-29,False,104.4,Dolly Parton,116391,Once Upon A Christmas,https://cdns-images.dzcdn.net/images/cover/9ec2e7e00adc4858ff13db09b4552332/250x250-000000-80-0-0.jpg
One Less Lonely Girl,Justin Bieber,2009,0,"Teen pop,R&B",English,one less lonely girl - justin bieber,0,436647122,One Less Lonely Girl,USUM71027044,2010-11-26,False,173.71,Justin Bieber,52773222,My Worlds Acoustic,https://e-cdns-images.dzcdn.net/images/cover/7f73026716ceb3cb1a65b1393ef6322c/250x250-000000-80-0-0.jpg
Kick The Bucket,Charlie Winston,2009,0,"Folk,Funk,Pop",English,kick the bucket - charlie winston,0,135385714,Kick The Bucket (2016 Version),UK86V1600064,2016-11-18,False,164.72,Charlie Winston,14460396,Under Cover,https://e-cdns-images.dzcdn.net/images/cover/9390b8e66bfc4cd934badc097c1549b9/250x250-000000-80-0-0.jpg
The Wrong Direction,Passenger,2012,0,"Folk,Pop",English,the wrong direction - passenger,0,125208200,The Wrong Direction,GBMQN1200015,2013-02-17,False,128.0,Passenger,13162620,All the Little Lights (Deluxe Version),https://e-cdns-images.dzcdn.net/images/cover/026b7b07622b8279fb1d9eca20dccb79/250x250-000000-80-0-0.jpg
For The Nights I Can't Remember,Hedley,2007,0,"Pop,Love,Soft rock",English,for the nights i can't remember - hedley,0,929775512,For The Nights I Can't Remember,CAUM70700265,2020-04-17,False,0.0,Hedley,141796172,Class Of '08,https://cdns-images.dzcdn.net/images/cover/a3cf9edf0d70f49b1475a11b2c31073b/250x250-000000-80-0-0.jpg
Take My Hand,Picture This,2016,0,"Pop,Rock",English,take my hand - picture this,0,427257432,Take My Hand,USUM71705322,2017-11-17,False,0.0,Picture This,51433172,Picture This (Deluxe),https://cdns-images.dzcdn.net/images/cover/54139efe6289c9f2ba31210bb9d1bab4/250x250-000000-80-0-0.jpg
I Got A Woman / Amen,Elvis Presley,1977,0,"Rock,Gospel",English,i got a woman / amen - elvis presley,0,104994056,I Got a Woman / Amen (Live),USRC17506996,1975-05-07,False,132.09,Elvis Presley,10933724,Today (Legacy Edition),https://cdns-images.dzcdn.net/images/cover/4d60c6d0dab2b3415af99310595ee8a6/250x250-000000-80-0-0.jpg
Sugar Baby Love,The Rubettes,1974,0,"Pop,Oldies",English,sugar baby love - the rubettes,0,73374065,Sugar Baby Love,GBQRF1114586,2014-12-19,False,130.0,The Rubettes,7223975,Best of British: The Rubettes,https://cdns-images.dzcdn.net/images/cover/682af35f02dbbac80f81ce858a241a62/250x250-000000-80-0-0.jpg
Matilda,Harry Belafonte,1953,0,"Zouk/Creole,Oldies,Pop",English,matilda - harry belafonte,0,960419,Matilda!,USRC15308337,2000-07-25,False,104.0,Harry Belafonte,107728,Greatest Hits,https://e-cdns-images.dzcdn.net/images/cover/2847cae5a4288921520d2b4f4e84df21/250x250-000000-80-0-0.jpg
She Called Me Baby,Charlie Rich,1975,0,"Rock 'n Roll,Soft rock,Love",English,she called me baby - charlie rich,0,0,0,0,0,0,0.0,0,0,0,0
Wearin' That Loved-On Look,Elvis Presley,1969,0,"Pop,Rock",English,wearin' that loved-on look - elvis presley,0,129232092,Wearin' That Loved On Look,USRC16908256,1969-06-17,False,0.0,Elvis Presley,13669784,From Elvis in Memphis,https://cdns-images.dzcdn.net/images/cover/8d77186bbac0425162dd2a004989e6e2/250x250-000000-80-0-0.jpg
Waka Waka (Remix),Shakira,2010,0,"Dance,Pop","English,Other",waka waka (remix) - shakira,0,45892141,Waka Waka (This Time for Africa) [Damn-R Remix Edit],AUXL30900990,2012-04-27,False,140.1,N-finity,4534381,Ripped! Vol. 2,https://e-cdns-images.dzcdn.net/images/cover/2e99568ae5353e5787172c9a827983d8/250x250-000000-80-0-0.jpg
Donna The Prima Donna,Dion,1963,0,"Oldies,Rock",English,donna the prima donna - dion,0,73026965,Donna the Prima Donna,USSM16300095,1963-12-10,False,136.4,Dion,7185180,Donna the Prima Donna,https://cdns-images.dzcdn.net/images/cover/3d643366657f2336bb51cc2ff9eeb8f1/250x250-000000-80-0-0.jpg
Silent Night (Woman Voice),Christmas Carol,1818,0,"Christmas,Traditionnal",English,silent night (woman voice) - christmas carol,0,0,0,0,0,0,0.0,0,0,0,0
Somewhere Over the Rainbow / What a Wonderful World,Cliff Richard,2001,0,Pop,English,somewhere over the rainbow / what a wonderful world - cliff richard,0,113376548,Somewhere Over The Rainbow/What A Wonderful World (TV Edit),GBCZ50100124,2015-09-18,False,173.7,Cliff Richard,11743404,75 At 75,https://cdns-images.dzcdn.net/images/cover/98c7f96e825fa14caaf79468c37221c2/250x250-000000-80-0-0.jpg
National Anthem,Lana Del Rey,2012,0,"Pop,Alternative",English,national anthem - lana del rey,0,16149855,National Anthem,GBUM71111567,2012-01-30,False,170.1,Lana Del Rey,1503218,Born To Die,https://cdns-images.dzcdn.net/images/cover/4c2c6143c3e83a01ea73517c57d1d138/250x250-000000-80-0-0.jpg
Gospel,Robbie Williams,2012,0,"Pop,Rock",English,gospel - robbie williams,0,621418502,Gospel,GBPS61200009,2012-11-05,True,124.16,Robbie Williams,85101582,Take The Crown (Deluxe Edition),https://cdns-images.dzcdn.net/images/cover/eee7aa4c2cf8ddfc8ff16071ce9a5cca/250x250-000000-80-0-0.jpg
You Wouldn't Believe,311,2001,0,Rock,English,you wouldn't believe - 311,0,13176046,You Wouldn't Believe,USVR10100037,2004-06-08,False,168.1,311,1208666,Greatest Hits '93 - '03,https://cdns-images.dzcdn.net/images/cover/77df331e9594e68eeff6a27aa5015909/250x250-000000-80-0-0.jpg
I Don't Wanna Dance,Lady Linn,2008,0,"Soul,Jazz",English,i don't wanna dance - lady linn,0,11084906,I Don't Wanna Dance,NLC240700057,2008-02-07,False,121.0,Lady Linn,1013931,Here We Go Again,https://e-cdns-images.dzcdn.net/images/cover/7336fc181e7ad5e521f2b5277f43438b/250x250-000000-80-0-0.jpg
Missing You,Brooks & Dunn,1999,0,Country,English,missing you - brooks & dunn,0,815373,Regrets of an Artist,US5940700093,2007-05-22,False,136.0,Ramin Djawadi,94655,Mr. Brooks,https://cdns-images.dzcdn.net/images/cover/d2d320da67ad92defdd4326bf94668a1/250x250-000000-80-0-0.jpg
Old Time Rock 'n Roll,Michael Bolton,2017,0,"Rock 'n Roll,Pop",English,old time rock 'n roll - michael bolton,0,0,0,0,0,0,0.0,0,0,0,0
Roxanne,Arizona Zervas,2019,1,Rap,English,roxanne - arizona zervas,0,806698322,ROXANNE,USSM11914320,2019-10-10,True,175.19,Arizona Zervas,118976742,ROXANNE,https://cdns-images.dzcdn.net/images/cover/1306297f553065dfd70701837045b41f/250x250-000000-80-0-0.jpg
Your Side Of Town,Maddie & Tae,2014,0,"Country,Rock",English,your side of town - maddie & tae,0,77830531,Maddie Girl Slim,USHM80756657,0000-00-00,False,0.0,The Dolly Ranchers,7734427,Escape Artist,https://cdns-images.dzcdn.net/images/cover/b46bcc3eac1cf6f04eb6dfb926ed87a8/250x250-000000-80-0-0.jpg
Bed Intruder Song,Antoine Dodson,2010,0,"R&B,Humour",English,bed intruder song - antoine dodson,0,68327889,Bed Intruder Song,US92U1029001,2015-02-20,False,152.0,Antoine Dodson,6691306,Official Bed Intruder Tribute Album (Remixes),https://cdns-images.dzcdn.net/images/cover/54169a4c56a45fcd3665875d480f49e1/250x250-000000-80-0-0.jpg
Only The Lonely,The Motels,1982,0,Pop,English,only the lonely - the motels,0,3237251,Only The Lonely,USCA20101209,2008-06-10,False,116.1,The Motels,309189,Classic Masters,https://e-cdns-images.dzcdn.net/images/cover/8ce2d819d6e8f7b4dd4c14915251dda0/250x250-000000-80-0-0.jpg
Rusty Cage,Soundgarden,1992,0,"Hard/Metal,Alternative,Rock",English,rusty cage - soundgarden,0,136340400,Rusty Cage,USAM19104305,2016-11-18,False,101.83,Soundgarden,14581962,Badmotorfinger (25th Anniversary Remaster),https://e-cdns-images.dzcdn.net/images/cover/ed4bb82a29a4bea1282b79c41f5407a0/250x250-000000-80-0-0.jpg
I'd Rather Go Blind,Beyoncé,2008,0,"Soul,Blues",English,i'd rather go blind - beyoncé,0,2654228,I'd Rather Go Blind (Album Version),USSM10804346,2008-11-28,False,164.0,Beyoncé,257646,Music From The Motion Picture Cadillac Records,https://e-cdns-images.dzcdn.net/images/cover/7ff7e997178e0fd5bb1780d18f6c2dca/250x250-000000-80-0-0.jpg
Light my Candle,Rent,1996,0,"Musical,Duet",English,light my candle - rent,0,3911532,Light My Candle (Monkey Bars Remix),USBYQ0600009,2006-04-11,False,130.8,RENT Soundtrack,365074,Take Me Or Leave Me (U.S. Maxi Single),https://cdns-images.dzcdn.net/images/cover/0eb875073fad1a1ffbe0bf53a596ea2a/250x250-000000-80-0-0.jpg
Walking On The Moon,Groove Da Praia,2007,0,"Jazz,Latin",English,walking on the moon - groove da praia,0,63966687,Walking On the Moon,ARF411300004,2013-01-22,False,126.0,Groove Da Praia,6275014,Reggatta De Lounge - A Downtempo Tribute to the Police,https://cdns-images.dzcdn.net/images/cover/3c3dfa177e9c7b0983093837c03223e2/250x250-000000-80-0-0.jpg
Satin Sheets,The Bellamy Brothers,1976,0,Country,English,satin sheets - the bellamy brothers,0,75765944,Satin Sheets,USCRB0305722,1976-07-01,False,123.0,The Bellamy Brothers,7505720,Bellamy Brothers,https://e-cdns-images.dzcdn.net/images/cover/cf44beb503522c41c6f1ba541d060ae5/250x250-000000-80-0-0.jpg
Nothin' Better To Do,LeAnn Rimes,2007,0,Country,English,nothin' better to do - leann rimes,0,91924154,Nothin’ Better To Do,USCRB0707693,2015-02-03,False,98.0,LeAnn Rimes,9331256,All-Time Greatest Hits,https://e-cdns-images.dzcdn.net/images/cover/89a9841f57a888f447591512a23cf44c/250x250-000000-80-0-0.jpg
Rearview Town,Jason Aldean,2019,0,"Country,Rock",English,rearview town - jason aldean,0,470764312,Rearview Town,QMRSZ1800213,2018-04-13,False,142.07,Jason Aldean,58592272,Rearview Town,https://cdns-images.dzcdn.net/images/cover/069cb307a7140f29066eb22255e7329d/250x250-000000-80-0-0.jpg
21st Century Breakdown,Green Day,2009,0,"Alternative,Punk/Grunge,Rock",English,21st century breakdown - green day,0,3087227,21st Century Breakdown,USRE10900666,2009-05-09,False,162.1,Green Day,299042,21st Century Breakdown,https://e-cdns-images.dzcdn.net/images/cover/ebd6fc49c3c87cbd5441424f151c04f2/250x250-000000-80-0-0.jpg
(Back Home In) Pasadena,Jazz Standards,2000,0,"Jazz,Traditionnal",English,(back home in) pasadena - jazz standards,0,0,0,0,0,0,0.0,0,0,0,0
Pressure Down,John Farnham,1986,0,"Pop,Rock",English,pressure down - john farnham,0,3959916,Pressure Down,AUBM08641002,1997-07-27,False,111.7,John Farnham,369740,Greatest Hits,https://e-cdns-images.dzcdn.net/images/cover/c03417e6fcbc8033fd5c8502a671efda/250x250-000000-80-0-0.jpg
The Only Difference Between Martyrdom and Suicide Is Press Coverage,Panic! At the Disco,2005,0,"Punk/Grunge,Rock",English,the only difference between martyrdom and suicide is press coverage - panic! at the disco,0,3659821,The Only Difference Between Martyrdom and Suicide Is Press Coverage,US56V0507702,2005-09-27,False,170.1,Panic! At the Disco,344626,A Fever You Can't Sweat Out,https://e-cdns-images.dzcdn.net/images/cover/12f418509c1f4fecca36b80c1432019a/250x250-000000-80-0-0.jpg
I Left My Heart In San Francisco,Tony Bennett,1962,0,"Oldies,Jazz",English,i left my heart in san francisco - tony bennett,0,0,0,0,0,0,0.0,0,0,0,0
When You Come Back to Me Again,Garth Brooks,2000,0,"Country,Love",English,when you come back to me again - garth brooks,0,7474605,When You Come Back To Me Again,USA371100653,2010-10-01,False,133.0,#1 Garth Brooks Tribute Band,689162,The Ultimate Tribute To Garth Brooks,https://e-cdns-images.dzcdn.net/images/cover/cb2315b61d50c15780812269aac357b8/250x250-000000-80-0-0.jpg
New Girl,Reggie 'n' Bollie,2016,0,Pop,English,new girl - reggie 'n' bollie,0,432432062,New Girl,GBHMU1600013,2017-12-15,False,126.82,Reggie 'N' Bollie,52187962,Uncommon Favours,https://e-cdns-images.dzcdn.net/images/cover/5dfc26e6041c58e62a9170e1e6b24c69/250x250-000000-80-0-0.jpg
Stand by Me,The Kingdom Choir,2018,0,Gospel,English,stand by me - the kingdom choir,0,502675452,Stand By Me,GBUM71801955,2018-05-19,False,98.67,Karen Gibson,64076892,The Royal Wedding - The Official Album,https://e-cdns-images.dzcdn.net/images/cover/d63119d834c6f7337d7b11873d49a2ce/250x250-000000-80-0-0.jpg
Chained to the Rhythm,Katy Perry,2017,0,"Pop,Dance,Disco",English,chained to the rhythm - katy perry,0,435821752,Chained To The Rhythm,USUM71700560,2017-12-08,False,95.04,Katy Perry,52663182,Best Of 2017,https://e-cdns-images.dzcdn.net/images/cover/964acadabc2b6e286ce5e8e5add495a0/250x250-000000-80-0-0.jpg
A Real Fine Place to Start,Sara Evans,2002,0,Country,English,a real fine place to start - sara evans,0,13158205,A Real Fine Place to Start,USRN10400972,2007-08-17,False,120.0,Sara Evans,1207167,Greatest Hits,https://e-cdns-images.dzcdn.net/images/cover/7c9c675aeac13d7568a8059032aa62eb/250x250-000000-80-0-0.jpg
I Love Rock 'n' Roll,Alvin and the Chipmunks,2007,0,"Kids,Rock,Pop",English,i love rock 'n' roll - alvin and the chipmunks,0,0,0,0,0,0,0.0,0,0,0,0
One Way Or Another (Teenage Kicks),One Direction,2013,0,"Teen pop,Pop,Rock",English,one way or another (teenage kicks) - one direction,0,64312605,One Way or Another (Teenage Kicks),GBHMU1300001,2013-02-17,False,162.0,One Direction,6300638,One Way or Another (Teenage Kicks),https://cdns-images.dzcdn.net/images/cover/e3880a01cea71d06caefdaed948e86d9/250x250-000000-80-0-0.jpg
My Front Porch Looking In,Lonestar,2003,0,Country,English,my front porch looking in - lonestar,0,15392045,My Front Porch Looking In,USBN10200036,2003-01-01,False,102.8,Lonestar,1421269,The Greatest Hits,https://cdns-images.dzcdn.net/images/cover/908da61929cf8c3c5fadc146ce4772d0/250x250-000000-80-0-0.jpg
Let There Be Love,Natalie Cole,1983,0,Jazz,English,let there be love - natalie cole,0,1523655,Karaoke - Let There Be Love,USA370511729,2005-10-18,False,0.0,Karaoke - Ameritz,156017,Karaoke - Female Swing and Jazz Vol. 1,https://cdns-images.dzcdn.net/images/cover/b1cfe1155359e5aea84ffa2a2651e84f/250x250-000000-80-0-0.jpg
Send Her My Love,Journey,1983,0,Rock,English,send her my love - journey,0,534474,Send Her My Love,USSM19932798,2006-07-31,False,124.9,Journey,71148,Greatest Hits,https://cdns-images.dzcdn.net/images/cover/ae2f6f126d84c5c86b012ffcc5598ea7/250x250-000000-80-0-0.jpg
I Could Fall In Love,Selena,1992,0,"Pop,Latin",English,i could fall in love - selena,0,3168713,I Could Fall In Love,USEL19500539,2008-03-04,False,157.8,Selena,304251,Unforgettable,https://e-cdns-images.dzcdn.net/images/cover/f95be5ede03f0a119d2d807111eb0089/250x250-000000-80-0-0.jpg
The Games People Play,Joe South,1968,0,Rock,English,the games people play - joe south,0,449009782,The Games People Play,FRX281743962,2018-01-23,False,0.0,Joe South,54825532,Rock Compilation,https://e-cdns-images.dzcdn.net/images/cover/c82c2d2107d88f8e10ba5fc55272f43a/250x250-000000-80-0-0.jpg
Somos Novios,Andrea Bocelli,2006,0,"Pop,Love","English,Italian",somos novios - andrea bocelli,0,94107312,Somos Novios,ITZ040600001,2015-02-09,False,142.1,Andrea Bocelli,9564960,Amor (Spanish Edition / Remastered),https://e-cdns-images.dzcdn.net/images/cover/794fd410a4be554ed6189815f3a55ef3/250x250-000000-80-0-0.jpg
Mama Said,Lukas Graham,2014,0,Pop,English,mama said - lukas graham,0,121239416,Mama Said,USWB11600081,2016-04-01,False,84.0,Lukas Graham,12665338,Lukas Graham,https://cdns-images.dzcdn.net/images/cover/f6cd3eb9df8634eb5cd2ca4ff0458a65/250x250-000000-80-0-0.jpg
Here In Frisco,Merle Haggard,1975,0,Country,English,here in frisco - merle haggard,0,6105501,Here In Frisco,USCN17400063,2010-05-28,False,90.27,Merle Haggard & The Strangers,557042,Keep Movin On,https://cdns-images.dzcdn.net/images/cover/cc0707d990b736d5212d4394a5110186/250x250-000000-80-0-0.jpg
September Song,Frank Sinatra,1943,0,"Jazz,Oldies",English,september song - frank sinatra,0,3464719,September Song (1999 / Digital Remaster),USCA29900903,2001-12-27,False,118.1,Frank Sinatra,328677,Point Of No Return (Remastered),https://e-cdns-images.dzcdn.net/images/cover/ff001d3b11b139acbea12dc411d292a1/250x250-000000-80-0-0.jpg
Luv 4 Luv,Robin S.,1993,0,Dance,English,luv 4 luv - robin s.,0,827092602,Luv 4 Luv (Original Mix),GBBXG1900029,2019-04-12,False,0.0,Ryan Blyth,122069822,Luv 4 Luv,https://e-cdns-images.dzcdn.net/images/cover/eeec4cefbdf469565977b59bf2407dd0/250x250-000000-80-0-0.jpg
Never Seen Anything Quite Like You,The Script,2014,0,Pop,English,never seen anything quite like you - the script,0,83936993,"Never Seen Anything ""Quite Like You""",GBARL1400981,2014-09-12,False,160.0,The Script,8448725,No Sound Without Silence,https://cdns-images.dzcdn.net/images/cover/b3f21a8563b7c0d2e80444a6ebd43549/250x250-000000-80-0-0.jpg
