title,artist,year,explicit,styles,languages,title_artist,synced,d_id,d_song,d_isrc,d_release,d_explicit,d_bpm,d_artist,d_album_id,d_album,d_art
Puttin' On The Ritz,Ella Fitzgerald,1958,0,Jazz,English,puttin' on the ritz - ella fitzgerald,0,588245392,Puttin' On The Ritz,USF095800010,2018-11-23,False,145.07,Ella Fitzgerald,79086752,The Very Best Of The Irving Berlin Songbook,https://e-cdns-images.dzcdn.net/images/cover/df6cf9d8ea3003c820b32c692387d5ff/250x250-000000-80-0-0.jpg
No More Cryin',Steve Perry,2018,0,"Rock,Pop",English,no more cryin' - steve perry,0,646293682,No More Cryin',USC4R1806558,2019-03-15,False,0.0,Steve Perry,89920672,Traces (Deluxe Edition),https://e-cdns-images.dzcdn.net/images/cover/099c3e0cd01ac25718d6322fd62074af/250x250-000000-80-0-0.jpg
Bottoms Up,Trey Songz,2010,0,"Rap,R&B",English,bottoms up - trey songz,0,7035513,Bottoms Up (feat. Nicki Minaj),USAT21001515,2010-09-13,True,148.2,Trey Songz,647880,"Passion, Pain & Pleasure",https://cdns-images.dzcdn.net/images/cover/65c0d38194c7a269de09fe7fab0ce304/250x250-000000-80-0-0.jpg
Rock Me,ABBA,1975,0,Pop,English,rock me - abba,0,24270371,Rock Me,SEAYD7501080,2009-12-22,False,133.3,ABBA,2319661,On And On,https://e-cdns-images.dzcdn.net/images/cover/9e3014b457ba375cfb1229c2a6592a1e/250x250-000000-80-0-0.jpg
Dance For Me,Mary J. Blige,2002,0,"R&B,Rap",English,dance for me - mary j. blige,0,7371006,Dance For Me,USMC10112239,2002-02-05,False,91.1,Mary J. Blige,680064,No More Drama,https://e-cdns-images.dzcdn.net/images/cover/d7743f7e41f76f3c9d8b412493262252/250x250-000000-80-0-0.jpg
Here to Stay,Korn,2002,1,"Hard/Metal,Alternative",English,here to stay - korn,0,1388678,Here To Stay,USA560623944,2003-02-25,False,99.0,Various Artists - Korn Tribute,142354,Kloned & Remixed - A Tribute To Korn,https://cdns-images.dzcdn.net/images/cover/339163f70c737f5a54bde4faeab11817/250x250-000000-80-0-0.jpg
It's Getting Better,Mama Cass,1969,0,"Pop,Rock",English,it's getting better - mama cass,0,490418522,It's Getting Better,USMC16946395,2018-04-27,False,132.94,Mama Cass,62004222,"Bubblegum, Lemonade &...Something For Mama",https://e-cdns-images.dzcdn.net/images/cover/b955b736b79845fc1cae2ffe253c49d4/250x250-000000-80-0-0.jpg
I'll Always Be There,Roch Voisine,1993,0,"Pop,Soft rock",English,i'll always be there - roch voisine,0,554654,I'll Always Be There,CAR560450711,2007-09-09,False,103.0,Roch Voisine,72714,Best Of (Deluxe Edition),https://cdns-images.dzcdn.net/images/cover/dbcf65a78582be8c6adab3f6484b0eeb/250x250-000000-80-0-0.jpg
Ain't Got Far To Go,Jess Glynne,2015,0,"Pop,R&B,Soul",English,ain't got far to go - jess glynne,0,103671810,Ain't Got Far to Go,GBAHS1500225,2015-07-31,False,144.1,Jess Glynne,10781370,Ain't Got Far to Go,https://e-cdns-images.dzcdn.net/images/cover/fab6839029d8fd4736549144f350070c/250x250-000000-80-0-0.jpg
Living Next Door To Alice (feat. Roy Chubby Brown),Smokie,1995,1,"Pop,Rock",English,living next door to alice (feat. roy chubby brown) - smokie,0,0,0,0,0,0,0.0,0,0,0,0
I Heart ?,Taylor Swift,2008,0,"Country,Pop",English,i heart ? - taylor swift,0,0,0,0,0,0,0.0,0,0,0,0
Nasty Girl,Destiny's Child,2002,0,"Pop,Teen pop,R&B",English,nasty girl - destiny's child,0,5817090,Nasty Girl (Album Version),USSM10102688,2001-01-01,False,130.0,Destiny's Child,78534,Survivor,https://e-cdns-images.dzcdn.net/images/cover/6569bbc2ccd786c051555084ebc9b355/250x250-000000-80-0-0.jpg
It's a Sin to Tell a Lie,Pat Boone,1955,0,"Love,Jazz",English,it's a sin to tell a lie - pat boone,0,488081332,It's a Sin to Tell a Lie,ITHA11506192,2018-04-20,False,0.0,Pat Boone,61596752,Moonglow (Unchained Melody),https://cdns-images.dzcdn.net/images/cover/f01ac0980f14f2263b4e97f89d770d95/250x250-000000-80-0-0.jpg
Hemorrhage (In My Hands),Fuel,2000,0,"Rock,Hard/Metal",English,hemorrhage (in my hands) - fuel,0,7675296,Hemorrhage (In My Hands),USSM10011620,2005-12-13,False,152.0,Fuel,708686,The Best of Fuel,https://e-cdns-images.dzcdn.net/images/cover/b674b430471efadafd23fc03d539e5ae/250x250-000000-80-0-0.jpg
Close to My Fire,Beth Hart,2013,0,"Blues,Rock",English,close to my fire - beth hart,0,75793058,Close To My Fire,USMH51400363,2014-03-25,False,91.0,Beth Hart,7508851,Live in Amsterdam,https://cdns-images.dzcdn.net/images/cover/b183f723ce0f8321018c49873f8e9e08/250x250-000000-80-0-0.jpg
L.A.,Amy Macdonald,2007,0,"Rock,Alternative,Folk",English,l.a. - amy macdonald,0,0,0,0,0,0,0.0,0,0,0,0
To Know Him Is To Love Him,Amy Winehouse,2006,0,"Soul,Blues,Folk",English,to know him is to love him - amy winehouse,0,0,0,0,0,0,0.0,0,0,0,0
A Mighty Fortress Is Our God,Gospel Singer,1529,0,"Gospel,Christian",English,a mighty fortress is our god - gospel singer,0,0,0,0,0,0,0.0,0,0,0,0
My Immortal (Acoustic),Evanescence,2008,0,"Alternative,Folk",English,my immortal (acoustic) - evanescence,0,0,0,0,0,0,0.0,0,0,0,0
Sugar On The Floor,Etta James,1978,0,"Soul,Jazz",English,sugar on the floor - etta james,0,3660399,Sugar on the Floor,USWB10203150,2008-04-08,False,136.4,Etta James,344682,Deep In The Night,https://e-cdns-images.dzcdn.net/images/cover/cb7bd6b65b8cdabaa89bef2cee0f091f/250x250-000000-80-0-0.jpg
Texas Strut,Gary Moore,1990,0,"Rock,Blues,Country",English,texas strut - gary moore,0,3125933,Texas Strut,GBAAA9000091,1992-07-11,False,183.8,Gary Moore,301518,Still Got The Blues,https://e-cdns-images.dzcdn.net/images/cover/e5ca9ba4e56c7e8a69791f6b194399d3/250x250-000000-80-0-0.jpg
Perfect (live acoustic),Pink,2012,0,"Soft rock,Pop",English,perfect (live acoustic) - pink,0,0,0,0,0,0,0.0,0,0,0,0
The Life I Never Led,Sister Act,2009,0,Musical,English,the life i never led - sister act,0,0,0,0,0,0,0.0,0,0,0,0
Heavy Is The Head,Zac Brown Band,2015,0,"Rock,Alternative,Duet",English,heavy is the head - zac brown band,0,98473096,Heavy Is the Head,USUG11500335,2015-04-28,False,170.8,Zac Brown Band,10061664,JEKYLL + HYDE,https://cdns-images.dzcdn.net/images/cover/fa163838d9dedb87e16b16c4d546a5c1/250x250-000000-80-0-0.jpg
I Can't Give Everything Away,David Bowie,2016,0,"Pop,Alternative,Rock",English,i can't give everything away - david bowie,0,116944282,I Can't Give Everything Away,USRF31500007,2016-01-08,False,119.8,David Bowie,12118252,Blackstar,https://e-cdns-images.dzcdn.net/images/cover/cb2f8613ea95431f1bb6c3676e8f691e/250x250-000000-80-0-0.jpg
